File, P1, P2, Date, Workers, Time Start, Time End, Collection, Magazine Name, Structure, Sheet Notes, Volume, Year, Date Start, Date End, Issue Start, Issue End, Type, Notes, Other Data
http://static.free-dissociation.com/magventory/mag-158.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, 10:08, , , Gamma, other (random), single bound volume, 2, 1964, no date, , 1, 1, B, 
http://static.free-dissociation.com/magventory/mag-158.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, 10:08, , , Gamma, other (random), single bound volume, 2, 1965, 2, , 2, , B, 
http://static.free-dissociation.com/magventory/mag-158.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, 10:08, , , Gamma, other (random), single bound volume, , missing?, , , , , B, missing issues?
http://static.free-dissociation.com/magventory/mag-158.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, 10:08, , , Gamma, other (random), single bound volume, 2, 1965, 9, , 5, , B, 
http://static.free-dissociation.com/magventory/mag-159.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , The Haunt of Horror, bimonthly, two issues only in 1 bound volume, 1, 1973, Jun, Aug, 1, 2, B, 
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , , , , 1, , B, only has out-of-order copyright dates, Marginalia: bound "1963; 1965"
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , , , , 2, , B, , Marginalia: bound "1963; 1965"
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , , , , 3, , B, , Marginalia: bound "1963; 1965"
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , , , , 4, , B, , Marginalia: bound "1963; 1965"
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , , , , 5, , B, , Marginalia: bound "1963; 1965"
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , , , , 6, , B, , Marginalia: bound "1967; 1968"
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , , , , 7, , , , Marginalia: bound "1967; 1968"
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , 1967, Fall 1967, , 8, , , , Marginalia: bound "1967; 1968"
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , 1968, Winter, , 9, , , , Marginalia: bound "1967; 1968"
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , 1968, Spring, , 10, , , , Marginalia: bound "1967; 1968"
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , 1968, Summer, , 11, , , , Marginalia: bound "1967; 1968"
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , 1968, Fall, , 12, , , , Marginalia: bound "1967; 1968"
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , 1969, Winter, , 13, , B, Changed title to _Science Fiction Greats_ but still bound under old title, Marginalia: [** bracketed w/o explanatory text]
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , 1969, Spring, , 14, , , , Marginalia: [** bracketed w/o explanatory text]
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , 1969, Summer, , 15, , , , Marginalia: [** bracketed w/o explanatory text]
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , 1969, Winter, , 16, , , , Marginalia: [** bracketed w/o explanatory text]
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , 1970, Spring, , 17, , , , Marginalia: [** bracketed w/o explanatory text]
http://static.free-dissociation.com/magventory/mag-160.jpg, kevinr, mgentile555, Feb. 2 2007, PP; JHS, , , , Great Science Fiction, quarterly, sheet 1 of 2, , 1970, Summer, , 18, , , , Marginalia: [** bracketed w/o explanatory text]
http://static.free-dissociation.com/magventory/mag-161.jpg, kevinr, mgentile555, Feb. 2 2007, , , , , IF, bimontly, , 1, 1952, Mar, Nov, 1, 5, B, , Marginalia: 
http://static.free-dissociation.com/magventory/mag-161.jpg, kevinr, mgentile555, Feb. 2 2007, , , , , IF, bimontly, , 1, 1953, Jan, , 6, , B, , Marginalia: 
http://static.free-dissociation.com/magventory/mag-161.jpg, kevinr, mgentile555, Feb. 2 2007, , , , , IF, bimontly, , 2, 1953, Mar, Nov, 1, 5, B, Title page cut out Nov 1953, Marginalia: 
http://static.free-dissociation.com/magventory/mag-161.jpg, kevinr, mgentile555, Feb. 2 2007, , , , , IF, bimontly, , 1, 1954, Jan, , 6, , B, B, Marginalia: 
http://static.free-dissociation.com/magventory/mag-161.jpg, kevinr, mgentile555, Feb. 2 2007, , , , , IF, bimontly, , 3, 1954, Mar, Jun, 1, 4, B, switched to monthly, Marginalia: 
http://static.free-dissociation.com/magventory/mag-161.jpg, kevinr, mgentile555, Feb. 2 2007, , , , , IF, bimontly, , 3, 1954, Jul, Aug, 5, 6, B, , Marginalia: 
http://static.free-dissociation.com/magventory/mag-161.jpg, kevinr, mgentile555, Feb. 2 2007, , , , , IF, bimontly, , 4, 1954, Sep, Dec, 1, 4, B, , Marginalia: 
http://static.free-dissociation.com/magventory/mag-161.jpg, kevinr, mgentile555, Feb. 2 2007, , , , , IF, bimontly, , 4, 1955, Jan, Feb, 5, 6, B, back to bimonthly starting June 1955; [** labeled 1955], Marginalia: 
http://static.free-dissociation.com/magventory/mag-161.jpg, kevinr, mgentile555, Feb. 2 2007, , , , , IF, bimontly, , 5, 1955, Mar, Oct, 1, 6, B, , Marginalia: 
http://static.free-dissociation.com/magventory/mag-161.jpg, kevinr, mgentile555, Feb. 2 2007, , , , , IF, bimontly, , 6, 1955, Dec, , 1, , B, , Marginalia: 
