File, P1, P2, Date, Workers, Time Start, Time End, Collection, Magazine Name, Structure, Sheet Notes, Volume, Year, Date Start, Date End, Issue Start, Issue End, Type, Notes, Other Data
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 66, 84, Jan, Apr, 1, 4, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 68/64, 85, May, Sep, 5, 2, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 69, 85, Sep, Dec, 3, 6, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 70, 86, Jan, Apr, 1, 4, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 70, 86, May, Apr, 5, 2, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 71, 86, Sep, Dec, 3, 6, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 72, 87, Jan, Apr, 1, 4, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 72/73, 87, May, Aug, 5, 2, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 73, 87, Sep, Dec, 3, 6, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 74, 88, Jan, Apr, 1, 4, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 74/75, 88, May, Aug, 5, 2, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 75, 88, Sep, Dec, 3, 6, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 76, 89, Jan, Apr, 1, 4, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 76, 89, May, Aug, 5, 2, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 77, 89, Sep, Dec, 3, 6, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 78, 90, Jan, Apr, 1, 4, B, 
http://static.free-dissociation.com/magventory/mag-137.jpg, aclough, mgentile555, 2/2/07, JPM KCR, 13:15, 13:24, UBH, F+SF, Monthly, , 78/79, 90, May, Aug, 5, 2, B, 
