File, P1, P2, Date, Workers, Time Start, Time End, Collection, Magazine Name, Structure, Sheet Notes, Volume, Year, Date Start, Date End, Issue Start, Issue End, Type, Notes, Other Data
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1979, Jan, Dec, 56-1, 57-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1980, Jan, Dec, 58-1, 59-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1981, Jan, Dec, 60-1, 61-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1982, Jan, Dec, 62-1, 63-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1983, Jan, Dec, 64-1, 65-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1984, Jan, Aug, 66-1, 67-2, U, no June
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1984, Dec, , 67-6, , U, Dec. 1984
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1984, , , 67-3;67-4;67-5;87-6, , B, Sep; Oct; Nov 1984; Dec 1994
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1985, Jan, Dec, 68-1, 69-6, U, monthly
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1986, Jan, Dec, 70-1, 71-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1987, Jan, Dec, 72-1, 73-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1988, Jan, Dec, 74-1, 75-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1989, Jan, Dec, 76-1, 77-6, U, 
http://static.free-dissociation.com/magventory/mag-183.jpg, dnawi, kevinr, Feb. 2 2007, KKB, 10:45, , MagDex shelf (C/M displaced due to lack of space), Analog, monthly, , CXX, 2000, 10/00, 12/00, 10, 12, U, , Count: 2 mags
http://static.free-dissociation.com/magventory/mag-183.jpg, dnawi, kevinr, Feb. 2 2007, KKB, 10:45, , MagDex shelf (C/M displaced due to lack of space), Analog, monthly, , CXXI, 2001, 1/01-, 12/01, 1, 12, U, July/Aug combined (11/yr), Count: July/Aug issue has "Issue No. 7&8"
http://static.free-dissociation.com/magventory/mag-183.jpg, dnawi, kevinr, Feb. 2 2007, KKB, 10:45, , MagDex shelf (C/M displaced due to lack of space), Analog, monthly, , CXXII, 2002, 1/02-, 4/02, 1, 4, U, , Count: 4 mags
http://static.free-dissociation.com/magventory/mag-183.jpg, dnawi, kevinr, Feb. 2 2007, KKB, 10:45, , MagDex shelf (C/M displaced due to lack of space), Analog, monthly, , CXXII, 2002, 11/02-, 12/02, 11, 12, U, , Count: 2 mags
http://static.free-dissociation.com/magventory/mag-183.jpg, dnawi, kevinr, Feb. 2 2007, KKB, 10:45, , MagDex shelf (C/M displaced due to lack of space), Analog, monthly, , CXXIII, 2003, 1/03-, 3/03, 1, 3, U, , Count: 3 mags
http://static.free-dissociation.com/magventory/mag-183.jpg, dnawi, kevinr, Feb. 2 2007, KKB, 10:45, , MagDex shelf (C/M displaced due to lack of space), Analog, monthly, , CXXIII, 2003, 12/03-, , 12, , U, , Count: 1 mag
http://static.free-dissociation.com/magventory/mag-184.jpg, dnawi, kevinr, Feb. 2 2007, BTS KAT, 10:30, , Sacks, Analog, , , , 1965, 4, 4, 75-2, , U, on perm loan
http://static.free-dissociation.com/magventory/scn.0.jpg, mkr, dnawi, November 12; 2006, *JSB*; KCR, 12:57, , SR, Pile *fi*s*y randoms, , Collection of randoms, 3, 1955, 7/55, 8/55, 26, 27, U, *M'as alla* (Spanish?) 27 needs repair
http://static.free-dissociation.com/magventory/scn.0.jpg, mkr, dnawi, November 12; 2006, *JSB*; KCR, 12:57, , SR, Pile *fi*s*y randoms, , Collection of randoms, 71, 1949, 10/49, , , , U, *Narant*** Terr**** (Italian?)
http://static.free-dissociation.com/magventory/scn.0.jpg, mkr, dnawi, November 12; 2006, *JSB*; KCR, 12:57, , SR, Pile *fi*s*y randoms, , Collection of randoms, 1, 1957, M**j**, Guiy**, 7, 9, U, Alfa-Tau (Italian?)  2 issues only
http://static.free-dissociation.com/magventory/scn.0.jpg, mkr, dnawi, November 12; 2006, *JSB*; KCR, 12:57, , SR, Pile *fi*s*y randoms, , Collection of randoms, ?, ?, , , 3, 4, U, Il Scrittori Del Futu*ro* (Italian?)
http://static.free-dissociation.com/magventory/scn.0.jpg, mkr, dnawi, November 12; 2006, *JSB*; KCR, 12:57, , SR, Pile *fi*s*y randoms, , Collection of randoms, ?, ?, , , 1, , U, Planet (Dutch *?*)
http://static.free-dissociation.com/magventory/scn.0.jpg, mkr, dnawi, November 12; 2006, *JSB*; KCR, 12:57, , SR, Pile *fi*s*y randoms, , Collection of randoms, , , , , 1, 3, U, Proxima (Italian?) 196*? *65*?
http://static.free-dissociation.com/magventory/scn.0.jpg, mkr, dnawi, November 12; 2006, *JSB*; KCR, 12:57, , SR, Pile *fi*s*y randoms, , Collection of randoms, , 1975, 45, , 65, , U, Nueva Dimension (Spanish?)
http://static.free-dissociation.com/magventory/scn.0.jpg, mkr, dnawi, November 12; 2006, *JSB*; KCR, 12:57, , SR, Pile *fi*s*y randoms, , Collection of randoms, , 1972, , , 1, 2, U, Gala*letila* (?)
http://static.free-dissociation.com/magventory/scn.0.jpg, mkr, dnawi, November 12; 2006, *JSB*; KCR, 12:57, , SR, Pile *fi*s*y randoms, , Collection of randoms, , , , , *1; 4; 13 only*, , U, Cien*cia* y Fant*asia* (Italian?)
http://static.free-dissociation.com/magventory/scn.0.jpg, mkr, dnawi, November 12; 2006, *JSB*; KCR, 12:57, , SR, Pile *fi*s*y randoms, , Collection of randoms, , 1958, ?, 5/58, 1, 2, U, Cosmic (*Italian?*)
http://static.free-dissociation.com/magventory/scn.0.jpg, mkr, dnawi, November 12; 2006, *JSB*; KCR, 12:57, , SR, Pile *fi*s*y randoms, , Collection of randoms, , , 12/59 */* */* */*, *[more illegible stuff]*, 3; 6; 12; 22 only, , U, C*rache* del Futu*ro* Later ones are "Le Ch***..." (Italian?)(French?)
http://static.free-dissociation.com/magventory/scn.0.jpg, mkr, dnawi, November 12; 2006, *JSB*; KCR, 12:57, , SR, Pile *fi*s*y randoms, , Collection of randoms, , 1963, , , 1 2 3 4 6 *7 or 9*, , U, Fantasia e Fantas*eimzs* (Italian)  *[dates for the above 12
http://static.free-dissociation.com/magventory/scn.1.jpg, mkr, dnawi, November 12; 2006, JSB; KCR, 12:52, , SR, Fiction, monthly, French, , 1962, 7/62, 11/62, 104, 109, B, 
http://static.free-dissociation.com/magventory/scn.1.jpg, mkr, dnawi, November 12; 2006, JSB; KCR, 12:52, , SR, Fiction, monthly, French, , 1963, 1/63, 6/63, 110, 115, B, 
http://static.free-dissociation.com/magventory/scn.1.jpg, mkr, dnawi, November 12; 2006, JSB; KCR, 12:52, , SR, Fiction, monthly, French, , 1963, 7/63, 12/63, 116, 121, B, 
http://static.free-dissociation.com/magventory/scn.1.jpg, mkr, dnawi, November 12; 2006, JSB; KCR, 12:52, , SR, Fiction, monthly, French, , 1964, 1/64, 6/64, 122, 127, B, 
http://static.free-dissociation.com/magventory/scn.1.jpg, mkr, dnawi, November 12; 2006, JSB; KCR, 12:52, , SR, Fiction, monthly, French, , 1964, 7/64, 12/64, 128, 133, B, 
http://static.free-dissociation.com/magventory/scn.1.jpg, mkr, dnawi, November 12; 2006, JSB; KCR, 12:52, , SR, Fiction, monthly, French, , 1965, 1/65, 6/65, 134, 139, B, 
http://static.free-dissociation.com/magventory/scn.1.jpg, mkr, dnawi, November 12; 2006, JSB; KCR, 12:52, , SR, Fiction, monthly, French, , 1965, 7/65, 12/65, 140, 145, B, 
http://static.free-dissociation.com/magventory/scn.10.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1355, 1355, Circulating, Aphelion, quarterly; other (? 1985-1986), , -, 1985/1986, summer, summer, 1, 1, U, 
http://static.free-dissociation.com/magventory/scn.10.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1355, 1355, Circulating, Aphelion, quarterly; other (? 1985-1986), , [** this page is very hard to make out!], , , , , , , 
http://static.free-dissociation.com/magventory/scn.11.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1956, 1956, Circulating, Astonishing Stories, other (no data) [**?], , 1, 1940, Aug, Aug, 4, 4, U, 
