File, P1, P2, Date, Workers, Time Start, Time End, Collection, Magazine Name, Structure, Sheet Notes, Volume, Year, Date Start, Date End, Issue Start, Issue End, Type, Notes, Other Data
http://static.free-dissociation.com/magventory/mag-078.jpg, aclough, mgentile555, November 30 2006, ALC JSB, , 5:36, , , , , , , , , 2, , U, [**Fangoria]
http://static.free-dissociation.com/magventory/mag-079.jpg, aclough, mgentile555, November 30; 2006, ALC JFC, 5:36, 5:47, , Famous Fantastic Mysteries, monthly, , , 39-40, Sep-Oct, Mar, 1-1, 1-6, , 
http://static.free-dissociation.com/magventory/mag-079.jpg, aclough, mgentile555, November 30; 2006, ALC JFC, 5:36, 5:47, , Famous Fantastic Mysteries, monthly, , , 40, Apr, Dec, 2-1, 2-5, , Bimonthly
http://static.free-dissociation.com/magventory/mag-079.jpg, aclough, mgentile555, November 30; 2006, ALC JFC, 5:36, 5:47, , Famous Fantastic Mysteries, monthly, , , 41, Feb, Dec, 2-6, 3-5, , 
http://static.free-dissociation.com/magventory/mag-079.jpg, aclough, mgentile555, November 30; 2006, ALC JFC, 5:36, 5:47, , Famous Fantastic Mysteries, monthly, , , 42, Feb, Sep, 3-6, 4-5, , Monthly from June
http://static.free-dissociation.com/magventory/mag-079.jpg, aclough, mgentile555, November 30; 2006, ALC JFC, 5:36, 5:47, , Famous Fantastic Mysteries, monthly, , , 42-43, Oct, Dec, 4-6, 5-5, , 3 twos in 43; Mar Sep and Dec
http://static.free-dissociation.com/magventory/mag-079.jpg, aclough, mgentile555, November 30; 2006, ALC JFC, 5:36, 5:47, , Famous Fantastic Mysteries, monthly, , , 44, Mar, Dec, 5-6, 6-3, , Quarterly
http://static.free-dissociation.com/magventory/mag-079.jpg, aclough, mgentile555, November 30; 2006, ALC JFC, 5:36, 5:47, , Famous Fantastic Mysteries, monthly, , , 45, Mar, Dec, 6-4, 7-1, , 
http://static.free-dissociation.com/magventory/mag-079.jpg, aclough, mgentile555, November 30; 2006, ALC JFC, 5:36, 5:47, , Famous Fantastic Mysteries, monthly, , , 46, Feb, Dec, 7-2, 8-2, , Bimonthly no 7-6
http://static.free-dissociation.com/magventory/mag-079.jpg, aclough, mgentile555, November 30; 2006, ALC JFC, 5:36, 5:47, , Famous Fantastic Mysteries, monthly, , , 47, Feb, Dec, 8-3, 9-2, , 
http://static.free-dissociation.com/magventory/mag-079.jpg, aclough, mgentile555, November 30; 2006, ALC JFC, 5:36, 5:47, , Famous Fantastic Mysteries, monthly, , , 48, Feb, Dec, 10-3, 11-2, , 
http://static.free-dissociation.com/magventory/mag-079.jpg, aclough, mgentile555, November 30; 2006, ALC JFC, 5:36, 5:47, , Famous Fantastic Mysteries, monthly, , , 50, Feb, Oct, 11-3, 12-1, , 5-issues; missed Dec
